y_true,y_hat,ops
0.431,0.398,317837
0.431,0.395,317896
0.431,0.399,317951
0.431,0.396,318027
0.431,0.396,318035
0.431,0.394,318213
0.431,0.393,318221
0.431,0.394,318230
0.431,0.396,318299
0.431,0.393,318329
0.431,0.396,318388
0.431,0.393,318477
0.431,0.395,318558
0.431,0.396,318566
0.431,0.393,318671
0.431,0.399,318728
0.431,0.393,318744
0.431,0.396,318906
0.431,0.393,319121
0.431,0.399,319139
0.431,0.402,319147
0.431,0.4,319180
0.431,0.393,319236
0.431,0.395,319350
0.431,0.393,319368
0.431,0.395,319384
0.431,0.405,319422
0.431,0.397,319546
0.431,0.393,319597
0.431,0.393,319635
0.431,0.393,319694
0.431,0.401,319708
0.431,0.393,319872
0.431,0.414,319996
0.431,0.399,320111
0.431,0.397,320251
0.431,0.398,320269
0.431,0.396,320510
0.627,0.399,320528
0.627,0.399,320579
0.431,0.396,320684
0.431,0.401,320706
0.431,0.393,320790
0.431,0.399,320838
0.431,0.397,320862
0.431,0.394,320889
0.431,0.395,320897
0.431,0.399,320960
0.431,0.395,321036
0.431,0.421,321044
0.431,0.395,321087
0.431,0.394,321095
0.431,0.393,321109
0.431,0.395,321125
0.431,0.403,321273
0.431,0.393,321320
0.431,0.393,321338
0.431,0.395,321826
0.431,0.399,321869
0.431,0.393,321877
0.431,0.394,321931
0.431,0.399,321958
0.431,0.398,321991
0.431,0.401,322261
0.431,0.397,322326
0.431,0.393,322393
0.431,0.395,322547
0.431,0.395,322571
0.431,0.394,322717
0.431,0.394,322831
0.431,0.393,322890
0.431,0.393,322903
0.431,0.396,322920
0.431,0.394,322946
0.431,0.396,323004
0.431,0.394,323055
0.431,0.393,323179
0.431,0.398,323233
0.431,0.395,323268
0.431,0.393,323349
0.431,0.395,323357
0.431,0.393,323373
0.431,0.395,323446
0.431,0.398,323632
0.431,0.403,323756
0.431,0.393,323772
0.431,0.396,323811
0.431,0.393,323870
0.431,0.393,323900
0.431,0.396,323926
0.431,0.401,323942
0.431,0.396,323977
0.431,0.397,323993
0.431,0.395,324159
0.431,0.397,324175
0.431,0.394,324205
0.431,0.422,324213
0.431,0.394,324299
0.431,0.394,324345
0.431,0.352,324361
0.431,0.393,324451
0.431,0.399,324477
0.431,0.396,324493
0.431,0.394,324523
0.431,0.394,324566
0.431,0.399,324671
0.431,0.396,324698
0.431,0.393,324710
0.431,0.395,324809
0.431,0.399,324892
0.431,0.396,324914
0.431,0.394,325015
0.431,0.394,325031
0.431,0.395,325074
0.431,0.394,325082
0.431,0.399,325236
0.431,0.542,325252
0.431,0.395,325341
0.431,0.399,325368
0.431,0.393,325465
0.431,0.393,325562
0.431,0.413,325571
0.431,0.399,325759
0.431,0.393,325767
0.431,0.395,325856
0.431,0.393,326046
0.431,0.403,326054
0.431,0.396,326089
0.431,0.457,326305
0.431,0.393,326348
0.431,0.397,326356
0.431,0.398,326500
0.431,0.411,326755
0.431,0.404,326861
0.431,0.396,326933
0.431,0.393,327000
0.431,0.393,327093
0.431,0.418,327107
0.431,0.393,327115
0.431,0.398,327263
0.431,0.393,327328
0.431,0.396,327352
0.431,0.396,327417
0.431,0.396,327441
0.431,0.394,327450
0.431,0.395,327468
0.431,0.393,327492
0.431,0.397,327557
0.431,0.397,327638
0.431,0.404,327689
0.431,0.396,327778
0.431,0.393,327867
0.431,0.418,327999
0.431,0.396,328031
0.431,0.396,328073
0.431,0.393,328171
0.431,0.393,328201
0.431,0.407,328294
0.431,0.394,328308
0.431,0.393,328332
0.431,0.398,328375
0.431,0.393,328499
0.431,0.395,328537
0.431,0.395,328596
0.431,0.394,328774
0.431,0.403,328901
0.431,0.394,329207
0.431,0.393,329266
0.431,0.4,329339
0.431,0.393,329355
0.431,0.393,329371
0.431,0.398,329525
0.431,0.393,329851
0.431,0.398,329886
0.431,0.398,329967
0.431,0.393,330027
0.431,0.399,330051
0.431,0.396,330108
0.431,0.398,330116
0.431,0.393,330141
0.431,0.399,330183
0.431,0.394,330264
0.431,0.393,330272
0.431,0.399,330281
0.431,0.399,330337
0.431,0.393,330353
0.431,0.399,330493
0.627,0.399,330558
0.431,0.394,330566
0.431,0.393,330655
0.431,0.393,330841
0.431,0.395,330876
0.431,0.394,330892
0.431,0.399,330957
0.431,0.393,331104
0.431,0.393,331210
0.431,0.393,331309
0.431,0.397,331341
0.627,0.399,331406
0.431,0.394,331490
0.431,0.398,331651
0.431,0.397,331660
0.431,0.4,331805
0.431,0.399,331856
0.431,0.407,331872
0.627,0.399,331970
0.431,0.399,332054
0.431,0.399,332062
0.431,0.393,332101
0.431,0.399,332119
0.431,0.399,332127
0.431,0.396,332291
0.431,0.393,332372
0.431,0.393,332381
0.431,0.399,332615
0.431,0.409,332682
0.431,0.399,332739
0.431,0.394,332755
0.431,0.393,332950
0.431,0.393,332992
0.431,0.397,333034
0.431,0.398,333051
0.431,0.398,333221
0.431,0.394,333239
0.431,0.393,333328
0.431,0.393,333395
0.431,0.396,333514
0.431,0.394,333620
0.431,0.399,333638
0.431,0.401,333662
0.431,0.41,333689
0.431,0.393,333719
0.431,0.4,333735
0.431,0.394,333808
0.431,0.393,333867
0.431,0.397,333875
0.431,0.395,333981
0.431,0.393,334057
0.431,0.395,334154
0.431,0.393,334243
0.431,0.395,334511
0.431,0.397,334561
0.431,0.398,334588
0.431,0.393,334651
0.431,0.393,334685
0.431,0.393,334766
0.431,0.393,334774
0.431,0.395,334847
0.431,0.393,334987
0.431,0.396,335070
0.431,0.423,335100
0.431,0.393,335118
0.431,0.395,335215
0.627,0.399,335223
0.431,0.399,335258
0.431,0.396,335410
0.431,0.395,335444
0.431,0.395,335479
0.431,0.395,335517
0.431,0.393,335525
0.431,0.397,335541
0.431,0.393,335568
0.431,0.41,335592
0.431,0.398,335614
0.431,0.395,335657
0.431,0.447,335690
0.431,0.394,335754
0.431,0.399,335762
0.627,0.399,335771
0.431,0.399,335789
0.431,0.4,335801
0.431,0.398,335835
0.431,0.393,335851
0.431,0.395,336017
0.431,0.393,336025
0.431,0.393,336076
0.431,0.394,336084
0.431,0.397,336106
0.431,0.394,336122
0.431,0.399,336238
0.431,0.395,336319
0.431,0.393,336432
0.431,0.394,336441
0.431,0.393,336467
0.431,0.399,336521
0.627,0.399,336548
0.431,0.393,336581
0.431,0.401,336831
0.431,0.397,336858
0.431,0.394,336874
0.431,0.393,337056
0.431,0.393,337137
0.431,0.397,337188
0.431,0.397,337226
0.431,0.396,337269
0.431,0.396,337374
0.431,0.394,337498
0.431,0.393,337510
0.431,0.397,337561
0.431,0.393,337609
0.431,0.399,337625
0.431,0.403,337668
0.431,0.399,337706
0.431,0.399,337714
0.431,0.441,337781
0.431,0.395,337871
0.627,0.398,338028
0.431,0.395,338044
0.431,0.394,338150
0.431,0.394,338206
0.431,0.398,338214
0.431,0.393,338249
0.431,0.399,338273
0.431,0.394,338346
0.431,0.4,338362
0.431,0.397,338559
0.431,0.395,338591
0.431,0.399,338648
0.431,0.393,339008
0.431,0.393,339032
0.431,0.402,339091
0.431,0.396,339245
0.431,0.393,339377
0.431,0.393,339440
0.431,0.393,339458
0.431,0.411,339539
0.431,0.411,339547
0.431,0.395,339601
0.431,0.399,339636
0.431,0.411,339679
0.431,0.396,339695
0.431,0.393,339750
0.431,0.393,339768
0.431,0.394,339920
0.431,0.396,339938
0.431,0.425,339954
0.431,0.399,339989
0.431,0.393,340049
0.431,0.393,340073
0.431,0.399,340103
0.431,0.393,340120
0.431,0.395,340146
0.431,0.393,340162
0.431,0.399,340219
0.431,0.393,340227
0.431,0.394,340251
0.431,0.396,340332
0.431,0.399,340448
0.431,0.392,340472
0.431,0.395,340561
0.431,0.393,340596
0.431,0.399,340642
0.431,0.394,340782
0.431,0.397,340952
0.431,0.393,340961
0.431,0.393,341096
0.627,0.549,341126
0.627,0.4,341134
0.431,0.393,341193
0.431,0.402,341215
0.431,0.397,341550
0.431,0.396,341819
0.431,0.393,341894
0.431,0.395,341941
