ops,ano,falt_total,falt_cont,falt_ind,falt_ind_modelo,cols_total,cols_cont,cols_ind,cols_ind_modelo,perc_total,perc_cont,perc_ind,perc_ind_modelo
nan,2004,100,50,50,43,101,51,50,43,0.9900990099009901,0.9803921568627451,1.0,1.0
301086.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
301299.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
304590.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
307319.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
307751.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
309711.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
310107.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
312924.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
314889.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
315591.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
319635.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
324477.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
325368.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
327000.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
330027.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
332062.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
332127.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
338273.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
363855.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
369012.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
377252.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
411329.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
411833.0,2004,51,20,31,29,101,51,50,43,0.504950495049505,0.39215686274509803,0.62,0.6744186046511628
339989.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
344818.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
350940.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
352322.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
353647.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
354805.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
357626.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
366871.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
368920.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
375764.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
376345.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
377228.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
382108.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
384704.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
386219.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
386596.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
400386.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
402052.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
404039.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
404241.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
404608.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
404918.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
406830.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
407402.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
408158.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
408751.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
408816.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
409758.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
411132.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
411507.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
411566.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
411817.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
412139.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
412716.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
412813.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
413046.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
413241.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
413801.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
413984.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
414310.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
414514.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
415057.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
415073.0,2004,48,20,28,26,101,51,50,43,0.4752475247524752,0.39215686274509803,0.56,0.6046511627906976
407062.0,2004,45,20,25,23,101,51,50,43,0.44554455445544555,0.39215686274509803,0.5,0.5348837209302325
304956.0,2004,41,20,21,19,101,51,50,43,0.40594059405940597,0.39215686274509803,0.42,0.4418604651162791
325236.0,2004,41,20,21,19,101,51,50,43,0.40594059405940597,0.39215686274509803,0.42,0.4418604651162791
406627.0,2004,41,20,21,19,101,51,50,43,0.40594059405940597,0.39215686274509803,0.42,0.4418604651162791
408221.0,2004,41,20,21,19,101,51,50,43,0.40594059405940597,0.39215686274509803,0.42,0.4418604651162791
413071.0,2004,41,20,21,19,101,51,50,43,0.40594059405940597,0.39215686274509803,0.42,0.4418604651162791
414522.0,2004,41,20,21,19,101,51,50,43,0.40594059405940597,0.39215686274509803,0.42,0.4418604651162791
408298.0,2004,39,20,19,17,101,51,50,43,0.38613861386138615,0.39215686274509803,0.38,0.3953488372093023
415065.0,2004,39,20,19,17,101,51,50,43,0.38613861386138615,0.39215686274509803,0.38,0.3953488372093023
302694.0,2004,38,20,18,16,101,51,50,43,0.37623762376237624,0.39215686274509803,0.36,0.37209302325581395
304409.0,2004,38,20,18,16,101,51,50,43,0.37623762376237624,0.39215686274509803,0.36,0.37209302325581395
315770.0,2004,38,20,18,16,101,51,50,43,0.37623762376237624,0.39215686274509803,0.36,0.37209302325581395
337781.0,2004,38,20,18,16,101,51,50,43,0.37623762376237624,0.39215686274509803,0.36,0.37209302325581395
339920.0,2004,38,20,18,16,101,51,50,43,0.37623762376237624,0.39215686274509803,0.36,0.37209302325581395
340219.0,2004,38,20,18,16,101,51,50,43,0.37623762376237624,0.39215686274509803,0.36,0.37209302325581395
350095.0,2004,38,20,18,16,101,51,50,43,0.37623762376237624,0.39215686274509803,0.36,0.37209302325581395
364916.0,2004,38,20,18,16,101,51,50,43,0.37623762376237624,0.39215686274509803,0.36,0.37209302325581395
365246.0,2004,38,20,18,16,101,51,50,43,0.37623762376237624,0.39215686274509803,0.36,0.37209302325581395
379697.0,2004,38,20,18,16,101,51,50,43,0.37623762376237624,0.39215686274509803,0.36,0.37209302325581395
