ops,ano,falt_total,falt_cont,falt_ind,falt_ind_modelo,cols_total,cols_cont,cols_ind,cols_ind_modelo,perc_total,perc_cont,perc_ind,perc_ind_modelo
378666.0,2001,59,32,27,26,96,51,45,43,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
378861.0,2001,59,32,27,26,96,51,45,43,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
401188.0,2001,59,32,27,26,96,51,45,43,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
403172.0,2001,59,32,27,26,96,51,45,43,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
407259.0,2001,59,32,27,26,96,51,45,43,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
354473.0,2001,58,32,26,25,96,51,45,43,0.6041666666666666,0.6274509803921569,0.5777777777777777,0.5813953488372093
368458.0,2001,58,32,26,25,96,51,45,43,0.6041666666666666,0.6274509803921569,0.5777777777777777,0.5813953488372093
400131.0,2001,58,32,26,25,96,51,45,43,0.6041666666666666,0.6274509803921569,0.5777777777777777,0.5813953488372093
400611.0,2001,58,32,26,25,96,51,45,43,0.6041666666666666,0.6274509803921569,0.5777777777777777,0.5813953488372093
404411.0,2001,58,32,26,25,96,51,45,43,0.6041666666666666,0.6274509803921569,0.5777777777777777,0.5813953488372093
300420.0,2001,57,32,25,24,96,51,45,43,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
313041.0,2001,57,32,25,24,96,51,45,43,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
335223.0,2001,57,32,25,24,96,51,45,43,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
336548.0,2001,57,32,25,24,96,51,45,43,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
341126.0,2001,57,32,25,24,96,51,45,43,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
342297.0,2001,57,32,25,24,96,51,45,43,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
349577.0,2001,57,32,25,24,96,51,45,43,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
358118.0,2001,57,32,25,24,96,51,45,43,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
363600.0,2001,57,32,25,24,96,51,45,43,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
371068.0,2001,57,32,25,24,96,51,45,43,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
406953.0,2001,57,32,25,24,96,51,45,43,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
410349.0,2001,57,32,25,24,96,51,45,43,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
411205.0,2001,57,32,25,24,96,51,45,43,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
301299.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
302228.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
303569.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
304409.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
304590.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
306631.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
307220.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
307319.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
307751.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
309681.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
309711.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
310107.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
311162.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
311634.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
312134.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
312304.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
312924.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
314668.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
314889.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
315095.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
315583.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
315591.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
318728.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
320838.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
321869.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
324477.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
324892.0,2001,53,22,31,30,96,51,45,43,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
