ops,ano,falt_total,falt_cont,falt_ind,falt_ind_modelo,cols_total,cols_cont,cols_ind,cols_ind_modelo,perc_total,perc_cont,perc_ind,perc_ind_modelo
315591,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
332062,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
338273,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
343153,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
344095,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
350940,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
366871,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
368920,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
369012,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
374326,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
377252,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
382639,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
384704,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
404039,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
405931,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
408531,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
410322,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
412139,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
412830,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
414549,2005,50,19,31,29,101,51,50,43,0.49504950495049505,0.37254901960784315,0.62,0.6744186046511628
301299,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
304590,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
307751,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
309711,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
310107,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
312304,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
349283,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
352322,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
357626,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
358711,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
382108,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
401021,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
402052,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
409758,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
410179,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
411132,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
411507,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
413046,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
413283,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
414310,2005,48,19,29,27,101,51,50,43,0.4752475247524752,0.37254901960784315,0.58,0.627906976744186
304441,2005,43,19,24,22,101,51,50,43,0.42574257425742573,0.37254901960784315,0.48,0.5116279069767442
311677,2005,43,19,24,22,101,51,50,43,0.42574257425742573,0.37254901960784315,0.48,0.5116279069767442
341193,2005,43,19,24,22,101,51,50,43,0.42574257425742573,0.37254901960784315,0.48,0.5116279069767442
360686,2005,43,19,24,22,101,51,50,43,0.42574257425742573,0.37254901960784315,0.48,0.5116279069767442
407780,2005,43,19,24,22,101,51,50,43,0.42574257425742573,0.37254901960784315,0.48,0.5116279069767442
413241,2005,43,19,24,22,101,51,50,43,0.42574257425742573,0.37254901960784315,0.48,0.5116279069767442
312509,2005,41,19,22,20,101,51,50,43,0.40594059405940597,0.37254901960784315,0.44,0.46511627906976744
321036,2005,41,19,22,20,101,51,50,43,0.40594059405940597,0.37254901960784315,0.44,0.46511627906976744
324345,2005,41,19,22,20,101,51,50,43,0.40594059405940597,0.37254901960784315,0.44,0.46511627906976744
325082,2005,41,19,22,20,101,51,50,43,0.40594059405940597,0.37254901960784315,0.44,0.46511627906976744
333735,2005,41,19,22,20,101,51,50,43,0.40594059405940597,0.37254901960784315,0.44,0.46511627906976744
343129,2005,41,19,22,20,101,51,50,43,0.40594059405940597,0.37254901960784315,0.44,0.46511627906976744
352543,2005,41,19,22,20,101,51,50,43,0.40594059405940597,0.37254901960784315,0.44,0.46511627906976744
383520,2005,41,19,22,20,101,51,50,43,0.40594059405940597,0.37254901960784315,0.44,0.46511627906976744
404241,2005,41,19,22,20,101,51,50,43,0.40594059405940597,0.37254901960784315,0.44,0.46511627906976744
407062,2005,41,19,22,20,101,51,50,43,0.40594059405940597,0.37254901960784315,0.44,0.46511627906976744
316695,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
317462,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
323756,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
325236,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
331210,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
346306,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
347272,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
354325,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
364941,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
386596,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
402770,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
402966,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
408221,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
408654,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
409359,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
411710,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
412716,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
413054,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
413071,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
413291,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
413488,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
414760,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
415171,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
415197,2005,40,19,21,19,101,51,50,43,0.39603960396039606,0.37254901960784315,0.42,0.4418604651162791
304956,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
313807,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
314587,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
321931,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
332127,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
339440,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
340219,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
352144,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
389358,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
404527,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
405515,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
405795,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
406414,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
407402,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
407704,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
408093,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
411566,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
412015,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
412333,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
412414,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
412953,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
413763,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
415090,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
415111,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
415286,2005,38,19,19,17,101,51,50,43,0.37623762376237624,0.37254901960784315,0.38,0.3953488372093023
312908,2005,37,19,18,16,101,51,50,43,0.36633663366336633,0.37254901960784315,0.36,0.37209302325581395
319350,2005,37,19,18,16,101,51,50,43,0.36633663366336633,0.37254901960784315,0.36,0.37209302325581395
