ops,ano,falt_total,falt_cont,falt_ind,falt_ind_modelo,cols_total,cols_cont,cols_ind,cols_ind_modelo,perc_total,perc_cont,perc_ind,perc_ind_modelo
352039,2002,68,37,31,30,95,51,44,43,0.7157894736842105,0.7254901960784313,0.7045454545454546,0.6976744186046512
400530,2002,68,37,31,30,95,51,44,43,0.7157894736842105,0.7254901960784313,0.7045454545454546,0.6976744186046512
408301,2002,68,37,31,30,95,51,44,43,0.7157894736842105,0.7254901960784313,0.7045454545454546,0.6976744186046512
410021,2002,68,37,31,30,95,51,44,43,0.7157894736842105,0.7254901960784313,0.7045454545454546,0.6976744186046512
413062,2002,68,37,31,30,95,51,44,43,0.7157894736842105,0.7254901960784313,0.7045454545454546,0.6976744186046512
414166,2002,68,37,31,30,95,51,44,43,0.7157894736842105,0.7254901960784313,0.7045454545454546,0.6976744186046512
414042,2002,66,37,29,28,95,51,44,43,0.6947368421052632,0.7254901960784313,0.6590909090909091,0.6511627906976745
335771,2002,65,37,28,27,95,51,44,43,0.6842105263157895,0.7254901960784313,0.6363636363636364,0.627906976744186
411361,2002,65,37,28,27,95,51,44,43,0.6842105263157895,0.7254901960784313,0.6363636363636364,0.627906976744186
413909,2002,65,37,28,27,95,51,44,43,0.6842105263157895,0.7254901960784313,0.6363636363636364,0.627906976744186
414123,2002,65,37,28,27,95,51,44,43,0.6842105263157895,0.7254901960784313,0.6363636363636364,0.627906976744186
313041,2002,63,37,26,25,95,51,44,43,0.6631578947368421,0.7254901960784313,0.5909090909090909,0.5813953488372093
335223,2002,63,37,26,25,95,51,44,43,0.6631578947368421,0.7254901960784313,0.5909090909090909,0.5813953488372093
301299,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
304409,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
304590,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
305243,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
307220,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
307319,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
307751,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
309711,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
310824,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
311162,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
311634,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
312134,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
312304,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
312461,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
312924,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
314889,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
315095,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
315371,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
315591,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
317837,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
318329,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
318728,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
321869,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
322903,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
323772,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
324477,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
324671,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
324892,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
325368,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
327000,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
330051,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
330183,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
330337,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
332062,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
332127,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
333328,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
335789,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
338273,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
338648,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
339636,2002,58,27,31,30,95,51,44,43,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
