ops,anos_observados,falt_total_medio,falt_cont_medio,falt_ind_medio,falt_ind_modelo_medio
nan,3,0.9898647508802925,0.9804650484729208,0.999421726559273,0.9993948301201694
413062,1,0.7157894736842105,0.7254901960784313,0.7045454545454546,0.6976744186046512
410021,1,0.7157894736842105,0.7254901960784313,0.7045454545454546,0.6976744186046512
352039,1,0.7157894736842105,0.7254901960784313,0.7045454545454546,0.6976744186046512
414166,1,0.7157894736842105,0.7254901960784313,0.7045454545454546,0.6976744186046512
400530,1,0.7157894736842105,0.7254901960784313,0.7045454545454546,0.6976744186046512
408301,1,0.7157894736842105,0.7254901960784313,0.7045454545454546,0.6976744186046512
414042,1,0.6947368421052632,0.7254901960784313,0.6590909090909091,0.6511627906976745
416746,1,0.6896551724137931,0.8431372549019608,0.4722222222222222,0.45714285714285713
335771,1,0.6842105263157895,0.7254901960784313,0.6363636363636364,0.627906976744186
413909,1,0.6842105263157895,0.7254901960784313,0.6363636363636364,0.627906976744186
414123,1,0.6842105263157895,0.7254901960784313,0.6363636363636364,0.627906976744186
411361,1,0.6842105263157895,0.7254901960784313,0.6363636363636364,0.627906976744186
416088,2,0.6666666666666667,0.8137254901960784,0.4583333333333333,0.44285714285714284
313041,1,0.6631578947368421,0.7254901960784313,0.5909090909090909,0.5813953488372093
335223,1,0.6631578947368421,0.7254901960784313,0.5909090909090909,0.5813953488372093
405728.0,1,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
315257.0,1,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
402061.0,1,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
400530.0,1,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
414328.0,1,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
414123.0,1,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
414166.0,1,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
407801.0,1,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
302856.0,1,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
412066.0,1,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
350605.0,1,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
413658.0,1,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
411370.0,1,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
412571.0,1,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
331970.0,1,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
416690,1,0.6551724137931034,0.803921568627451,0.4444444444444444,0.42857142857142855
416711,1,0.6551724137931034,0.803921568627451,0.4444444444444444,0.42857142857142855
413178.0,1,0.6458333333333334,0.6274509803921569,0.6666666666666666,0.6744186046511628
404578.0,1,0.6458333333333334,0.6274509803921569,0.6666666666666666,0.6744186046511628
412473.0,1,0.6458333333333334,0.6274509803921569,0.6666666666666666,0.6744186046511628
414042.0,1,0.6458333333333334,0.6274509803921569,0.6666666666666666,0.6744186046511628
416321,1,0.6436781609195402,0.7843137254901961,0.4444444444444444,0.42857142857142855
416045,1,0.6436781609195402,0.7843137254901961,0.4444444444444444,0.42857142857142855
403806.0,1,0.6354166666666666,0.6274509803921569,0.6444444444444445,0.6511627906976745
413909.0,1,0.6354166666666666,0.6274509803921569,0.6444444444444445,0.6511627906976745
